time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
8.100000000000000533e-01,1.967291822482456354e+01,2.249036061115659990e+01,2.442489953690119009e-04,2.012515945309229171e+00,1.853921723109238826e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853921723109238826e+02,4.393555523314262246e+00,2.562502496923861894e+00,7.509547879418860816e+00
8.200000000000000622e-01,1.875393782426488087e+01,2.164819658805697955e+01,2.326162192258784955e-04,1.793071228526832206e+00,1.853574389880358808e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853574389880358808e+02,4.512244305683708490e+00,2.497006512374043474e+00,7.443132378461215559e+00
8.300000000000000711e-01,1.781644955126298768e+01,2.078387494571454042e+01,2.221822680086305013e-04,1.569464040869451349e+00,1.853306946359927849e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853306946359927849e+02,4.632962826350478736e+00,2.427980667024247197e+00,7.373220099329589772e+00
8.399999999999999689e-01,1.686137859356004398e+01,1.989826146704270471e+01,2.130549142636550819e-04,1.342323155007671520e+00,1.853125429905969099e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853125429905969099e+02,4.755469916957480336e+00,2.355373863961974124e+00,7.299763838465502808e+00
8.499999999999999778e-01,1.588966749088413799e+01,1.899224324488318061e+01,2.053548368633473231e-04,1.112320009135876697e+00,1.853035414016864024e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853035414016864024e+02,4.879520079149529010e+00,2.279144043433184219e+00,7.222724829743898844e+00
8.599999999999999867e-01,1.490227520477755085e+01,1.806672779184194155e+01,1.992111660486795000e-04,8.801652611909368540e-01,1.853041967355838437e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853041967355838437e+02,5.004864742090745722e+00,2.199258855957800129e+00,7.142073390377608355e+00
8.699999999999999956e-01,1.390017617221732138e+01,1.712264210743687087e+01,1.947529265991648773e-04,6.466052675321216636e-01,1.853149615454312027e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853149615454312027e+02,5.131253534494675250e+00,2.115696274544268896e+00,7.057789519160981406e+00
8.800000000000000044e-01,1.288435934396373383e+01,1.616093170833409332e+01,1.920936692055008610e-04,4.124185920919339887e-01,1.853362305829218428e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853362305829218428e+02,5.258435554810404255e+00,2.028445140574818506e+00,6.969863444363411098e+00
8.900000000000000133e-01,1.185582720858519501e+01,1.518255962692293259e+01,1.913057694892389415e-04,1.784127442101423044e-01,1.853683377097641483e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853683377097641483e+02,5.386160614395365087e+00,1.937505638850409273e+00,6.878296118568675510e+00
9.000000000000000222e-01,1.081559480312316168e+01,1.418850538326552169e+01,1.923789651755158925e-04,-5.457859189921521192e-02,1.854115532475483690e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854115532475483690e+02,5.514180422086170097e+00,1.842889698441508184e+00,6.783099657839431806e+00
